id,title,author,genre
cf_1,El hombre bicentenario,Isaac Asimov,Ciencia ficción
ne_1,Lobo de mar,Jack London,Narrativa extranjera
np_1,El legado de los huesos,Dolores Redondo,Narrativa policíaca
dc_1,El error de Descartes,Antonio Damasio,Divulgación científica
dc_2,El ingenio de los pájaros,Jennifer Ackerman,Divulgación científica
ne_1,El corazón de las tinieblas,Joseph Conrad,Narrativa extranjera
dc_5,Metro 2033,Dmitri Glujovski,Divulgación científica
dc_5,Sidharta,Hermann Hesse,Narrativa extranjera
el_1,Andres Trapiello,Las armas y las letras,Narrativa extranjera
yd_pjr,La vida de Momo,Momo,Autoayuda
fp_rdi,Wow Classic,Blizzard,Ciencia ficción
dw_p82,Python basic,Momo,Autoayuda
zp_f8h,Dragon Ball,Akira Toriyama,Manga
dh_03a,Super Dragon Ball,Akira Toriyama,Manga
aa_1,El poder del ahora,Ekhart Tolle,Narrativa extranjera
gy_462,Data Science,Julio Maldonado,Divulgación científica
